id,Tarih,Kocaeli-PM10,Kocaeli-PM10Debi,Kocaeli-SO2,Kocaeli-NO2,Kocaeli-NOX,Kocaeli-NO,Kocaeli-O3,Kocaeli-HavaSicakligi,Kocaeli-RuzgarHizi,Kocaeli-BagilNem,Kocaeli-KabinSicakligi,Kocaeli-KabinNem,Kocaeli-PM25,Kocaeli-PM25Debi,Gebze-SO2,Gebze-M10,Gebze-PM10Debi,Gebze-NO2,Gebze-NOX,Gebze-NO,Gebze-O3,Gebze-HavaSicakligi,Gebze-RuzgarHizi,Gebze-BagilNem,Yenikoy-SO2,Yenikoy-M10,Yenikoy-PM10Debi,Yenikoy-NO2,Yenikoy-NOX,Yenikoy-NO,Yenikoy-O3,Yenikoy-HavaSicakligi,Yenikoy-RuzgarHizi,Yenikoy-BagilNem,Yenikoy-PM25Debi,Yenikoy-PM25,Alikahya-SO2,Alikahya-M10,Alikahya-PM10Debi,Alikahya-NO2,Alikahya-NOX,Alikahya-NO,Alikahya-O3,Alikahya-HavaSicakligi,Alikahya-RuzgarHizi,Alikahya-BagilNem,Alikahya-PM25Debi,Alikahya-PM25,Golcuk-SO2,Golcuk-M10,Golcuk-PM10Debi,Golcuk-NO2,Golcuk-NOX,Golcuk-NO,Golcuk-O3,Golcuk-HavaSicakligi,Golcuk-RuzgarHizi,Golcuk-BagilNem,Golcuk-PM25Debi,Golcuk-PM25
0,2018-12-31,7.93,36.45,0.85,58.05,174.11,75.85,9.82,8.12,2.15,72090.66,34.36,25.67,,,7.13,24.23,16.66,56.58,197.74,42.76,9.75,4.58,0.62,82.64,3.14,35.8,16.61,34.85,73.83,25.42,15.47,3.67,1.01,92.01,,,3.85,47.88,16.37,31.22,104.11,50.12,,5.0,0.64,86.79,,,6.38,36.64,16.7,35.76,65.11,19.13,15.79,4.94,1.59,85.61,16.68,30.79
1,2018-12-30,8.99,51.78,0.85,60.42,145.27,55.46,11.61,11.5,1.8,68290.7,12.53,25.67,,,3.21,13.49,16.67,49.72,117.22,18.87,11.73,4.4,0.66,91.33,3.69,12.68,16.64,24.63,39.79,9.89,28.34,4.98,1.45,98.27,,,4.33,23.22,16.39,40.87,87.46,30.69,,5.39,1.18,95.02,,,3.03,15.43,16.71,23.68,35.17,7.51,28.58,5.74,1.74,91.0,16.68,12.82
2,2018-12-29,21.38,82.92,0.85,66.89,213.09,95.555,10.705,15.44,1.76,46.73,0.7,41.03,,,8.76,23.5,16.66,47.62,94.17,14.08,16.48,5.07,1.12,72.14,8.94,36.16,16.57,41.33,85.16,28.6,17.23,3.84,1.08,90.38,,,7.73,57.16,16.4,46.39,172.2,82.17,,3.46,0.95,90.56,,,17.19,41.45,16.71,35.08,88.93,35.1,21.7,5.15,2.77,82.0,16.68,29.08
3,2018-12-28,15.61,85.15,0.85,73.37,280.92,135.65,9.8,12.45,1.52,45.11,0.7,38.6,,,7.58,39.02,16.66,71.41,200.705,74.72000000000001,10.125245492274482,4.136666666666667,0.7450000000000001,76.34567731164995,7.62,46.98,16.54,45.29,109.86,42.08,13.63,4.86,0.96,90.08,,,6.09,55.7,16.53,46.83,165.58,77.3,,4.85,0.69,86.98,,,15.67,49.4,16.7,46.69,132.45,55.96,11.07,5.42,1.39,86.47,16.68,38.86
4,2018-12-27,17.14,99.72,0.85,83.85,365.3,183.95,3.75,10.62,1.25,52.2,0.7,54.79,,,8.58,47.72,16.66,90.69,307.24,135.36,5.45,3.203333333333333,0.37,86.78,2.06,25.24,16.57,41.31,91.55,33.09,12.23,3.495,1.06,97.41,,,2.36,50.6,16.63,48.34,177.02,84.32,,3.5649999999999995,0.65,96.94,,,7.88,30.6,16.7,38.92,70.38,20.55,12.9,2.98,2.08,87.39,16.68,23.4
5,2018-12-26,5.92,45.69,0.86,65.21,188.28,80.43,9.8,7.45,0.99,64.85,0.7,21.95,,,2.37,15.09,16.66,50.59,112.44,30.56,15.39,2.27,0.9,81.52,1.86,14.73,16.59,31.14,47.76,10.82,24.09,2.13,1.23,99.84,,,1.51,26.61,16.59,42.09,96.8,35.85,,2.28,0.8,97.2,,,3.2,14.57,16.71,28.92,40.66,7.66,26.37,3.2,1.42,91.29,16.68,13.15
6,2018-12-25,5.47,26.39,0.85,53.32,150.96,63.82,19.74,6.89,1.47,66.82,0.7,10.48,,,3.1,11.45,16.66,27.82,48.14,3.47,21.71,5.14,1.59,88.08,5.12,9.59,16.56,27.03,41.81,9.64,32.04,5.52,1.91,91.28,,,4.16,25.7,16.66,32.6,98.25,43.49,,5.52,1.16,90.25,,,4.68,17.34,16.71,21.92,31.43,6.2,33.19,5.9,2.8,91.89,16.68,10.12
7,2018-12-24,16.93,113.63,0.84,78.06,291.13,139.26,7.63,4.61,1.23,68.89,0.7,47.36,,,9.91,30.45,16.67,69.54,161.27,50.05,11.06,10.57,0.95,76.59,8.3,30.58,16.55,34.99,84.75,32.45,26.37,10.07,1.83,78.43,,,6.41753054031159,37.347662891009655,16.622500000000002,30.715,95.165,42.465,,5.795,1.1075,84.57421965929902,,,15.91,55.51,16.69,42.52,109.16,43.48,17.98,10.39,2.05,79.55,16.68,38.06
8,2018-12-23,15.34,89.71,0.85,71.38,261.6,124.33,5.64,4.23,1.66,79.4,0.67,42.5,,,13.01,36.26,16.66,70.9,162.2,49.76,12.64,9.55,0.84,77.52,7.71,42.53,16.53,37.48,86.4,31.92,20.15,7.94,1.81,91.59,,,7.254867041009308,49.44523619519908,16.585,28.83,92.08,41.44,,6.07,1.055,82.09789257051241,,,14.37,55.78,16.71,36.97,89.69,34.38,20.35,9.0,3.13,87.59,16.68,39.74
9,2018-12-22,19.66,110.02,0.85,63.87,232.27,110.07,7.61,6.17,1.5,79.42,0.7,48.04,,,13.28,25.01,16.67,64.21,136.14,37.13,9.99,7.42,0.85,78.35,7.89,49.45,16.58,32.29,74.6,27.58,15.46,6.74,1.81,89.46,,,6.6597700212023705,54.80269140178898,16.5475,26.945,88.995,40.415,,6.345,1.0025,83.22761919646959,,,15.26,63.89,16.7,32.27,67.96,23.28,17.14,7.96,3.16,82.68,16.68,42.72
10,2018-12-21,10.31,78.25,0.86,48.93,189.66,91.98,6.53,5.74,1.17,72.45,0.69,29.14,,,11.72,30.08,16.66,48.96,122.64,38.27,7.0,5.76,0.71,84.44,4.97,34.72,16.58,24.68,53.07,18.54,12.42,6.54,1.03,93.53,,,4.62,46.23,16.51,25.06,85.91,39.39,,6.62,0.95,88.37,,,7.29,34.87,16.71,24.56,44.2,12.81,10.49,6.85,1.65,86.26,16.68,24.57
